# Base de Datos de Estudiantes - Colegio Estatal Santa Barbara
# Formato: Codigo|Nombre|Edad|Grado|Seccion|Promedio|Asistencia(%)|Becado
# =============================================================================

2025001|Alejandro Rojas Mendoza|7|1|C|15.9|70|NO
2025002|Daniela Condori Quispe|7|1|B|14.1|77|NO
2025003|Melissa Silva Ccoyllo|7|1|D|10.3|72|NO
2025004|Patricia Romero Martínez|7|1|C|17.6|93|NO
2025005|José Mendoza Vargas|7|1|D|11.8|78|NO
2025006|Gabriela Medina Rojas|7|1|A|19.4|100|NO
2025007|Valeria Gutiérrez López|6|1|D|16.3|73|SI
2025008|Pedro Ríos Ortiz|7|1|D|18.5|89|SI
2025009|Pablo Castro Cruz|6|1|C|10.9|75|NO
2025010|Elena Castillo Romero|6|1|A|10.3|73|NO
2025011|Juan Mamani Vargas|7|1|D|10.2|94|NO
2025012|Alejandro Ríos Puma|7|1|B|18.3|72|NO
2025013|Sofía Apaza Puma|6|1|D|12.9|80|NO
2025014|Teresa Medina Mamani|6|1|A|19.2|94|SI
2025015|Carmen Castillo Torres|7|1|B|11.3|96|NO
2025016|Jorge Ortiz Condori|7|1|D|13.8|77|NO
2025017|Carlos Martínez Puma|6|1|A|15.9|74|NO
2025018|Diego Cruz Sánchez|7|1|A|11|78|NO
2025019|Paula Mamani Cruz|7|1|B|19|82|NO
2025020|Raúl Puma Sánchez|7|1|B|14|93|NO
2025021|Jorge Quispe Reyes|7|2|D|20|76|NO
2025022|Fernando Gutiérrez Villanueva|8|2|B|11.8|79|NO
2025023|Javier Gómez Ortiz|8|2|B|18.7|98|NO
2025024|Pedro Reyes Gómez|8|2|D|11.6|100|NO
2025025|Teresa Vargas Ramírez|7|2|B|15.4|91|NO
2025026|María Puma Puma|8|2|C|17.7|78|NO
2025027|Melissa Alvarez Herrera|8|2|B|17|76|SI
2025028|Pablo Ccoyllo Fernández|7|2|C|16.4|88|NO
2025029|Pedro Yupanqui Condori|7|2|D|18.7|78|NO
2025030|Daniela Yupanqui Villanueva|8|2|C|19.6|96|SI
2025031|Ricardo Martínez Sánchez|8|2|D|19.3|95|NO
2025032|Rosa Apaza Alvarez|7|2|B|16.5|79|NO
2025033|Sergio Fernández Ríos|7|2|B|18.6|80|NO
2025034|Luis Rodríguez Reyes|7|2|B|18.9|83|NO
2025035|Roberto Pérez Gómez|8|2|C|15.7|86|NO
2025036|Antonio Huamán Ríos|7|2|D|15.9|93|NO
2025037|Alejandro Mendoza Yupanqui|8|2|C|11.9|82|NO
2025038|Natalia Medina Puma|8|2|B|14.3|78|NO
2025039|Valeria Jiménez Gutiérrez|8|2|D|19.2|92|SI
2025040|Pedro Puma Cruz|8|2|A|17.3|72|SI
2025041|José Vargas Romero|9|3|B|13.6|88|NO
2025042|Javier Herrera Ramírez|9|3|C|16.6|94|NO
2025043|Ángel Chávez García|8|3|A|18.3|90|NO
2025044|Isabel Romero Silva|9|3|C|14.5|84|NO
2025045|Rosa Huamán Condori|9|3|A|12.8|88|NO
2025046|Jorge Mamani Rojas|8|3|A|18.4|95|NO
2025047|Valeria Martínez Mendoza|9|3|B|20|75|SI
2025048|Camila Villanueva Huamán|8|3|D|15.1|81|NO
2025049|Sergio Torres Mamani|9|3|D|17.9|78|SI
2025050|Roberto Sánchez Rojas|8|3|C|13.8|80|NO
2025051|Roberto Cruz Sánchez|9|3|C|19.4|71|SI
2025052|Pablo Castro Sánchez|9|3|C|15.3|78|NO
2025053|Diego Silva Herrera|9|3|C|20|90|NO
2025054|Sofía Gutiérrez Sánchez|9|3|B|11.7|86|NO
2025055|Fernando Vargas Herrera|8|3|A|14.3|72|NO
2025056|Patricia Villanueva Morales|8|3|C|17.8|84|NO
2025057|Antonio Morales Yupanqui|8|3|A|17.8|76|SI
2025058|Raúl Mendoza Vargas|8|3|A|17.8|72|NO
2025059|María Castro Morales|8|3|D|12.4|95|NO
2025060|Carmen Torres Mendoza|8|3|C|19.5|78|NO
2025061|Alejandro Castro Flores|9|4|D|17.5|99|NO
2025062|Victoria Flores Huamán|10|4|C|11.3|85|NO
2025063|Raúl Vásquez Gómez|10|4|D|18.3|96|NO
2025064|Natalia Medina Flores|9|4|D|10.9|100|NO
2025065|Pablo Reyes Alvarez|10|4|A|12.9|82|NO
2025066|Diego Ortiz Silva|10|4|B|10.4|91|NO
2025067|Jorge Díaz Apaza|10|4|D|14.4|89|NO
2025068|Ricardo Ríos Condori|9|4|D|12.7|73|NO
2025069|Gabriela Díaz Rodríguez|9|4|A|13.6|93|NO
2025070|Miguel López Herrera|10|4|A|10.8|94|NO
2025071|Alejandro Ortiz Medina|9|4|A|19.7|83|NO
2025072|Paula Ramírez Quispe|10|4|B|17.1|98|NO
2025073|Manuel García García|9|4|A|19.3|73|NO
2025074|Rosa Rojas Herrera|10|4|A|10|78|NO
2025075|Raúl Reyes Apaza|10|4|B|12.6|83|NO
2025076|José Ccoyllo García|10|4|A|14.6|90|NO
